date,timestamp,open,high,low,close,volume
2016-06-04,1464998400000,571.09,594.64,564.29,576.31,6932.07537817
2016-06-05,1465084800000,576.31,585.0,570.22,575.17,4984.2494482
2016-06-06,1465171200000,575.17,588.15,575.0,586.77,6791.26453533
2016-06-07,1465257600000,586.75,590.95,475.0,579.71,10079.83684173
2016-06-08,1465344000000,579.72,583.99,572.96,583.21,5661.74917272
2016-06-09,1465430400000,583.19,583.48,574.0,577.46,4979.63044035
2016-06-10,1465516800000,577.47,581.0,573.5,580.31,5659.48661659
2016-06-11,1465603200000,580.31,610.0,580.31,609.5,5542.22525864
2016-06-12,1465689600000,609.5,687.71,605.0,677.86,18004.01737962
2016-06-13,1465776000000,677.45,720.0,663.55,706.01,15497.40307056
2016-06-14,1465862400000,706.02,706.45,650.02,684.95,12443.0955638
2016-06-15,1465948800000,684.99,699.3,673.0,698.78,7913.03547125
2016-06-16,1466035200000,698.76,777.68,698.76,769.76,16806.85873763
2016-06-17,1466121600000,769.71,778.5,709.01,752.26,14007.79895098
2016-06-18,1466208000000,752.0,785.15,734.8,758.99,9594.92358376
2016-06-19,1466294400000,759.0,771.92,744.77,768.76,5442.63878549
2016-06-20,1466380800000,768.94,768.94,701.01,703.12,9837.24384715
2016-06-21,1466467200000,706.47,718.26,628.6,667.66,26110.68887273
2016-06-22,1466553600000,667.88,679.99,568.11,604.5,15592.43638084
2016-06-23,1466640000000,606.13,637.89,544.13,631.1,20474.00358887
2016-06-24,1466726400000,631.1,700.0,631.01,669.98,19078.84530672
2016-06-25,1466812800000,669.98,699.0,650.0,673.71,7691.56323655
2016-06-26,1466899200000,673.71,675.19,625.01,638.56,5678.38601546
2016-06-27,1466985600000,638.56,659.98,630.0,657.87,6624.33980245
2016-06-28,1467072000000,657.86,663.53,638.0,648.43,5696.74677715
2016-06-29,1467158400000,648.43,648.43,630.02,639.42,6485.12685807
2016-06-30,1467244800000,639.41,675.0,635.14,673.49,7764.24646799
2016-07-01,1467331200000,673.5,688.99,667.0,678.19,6839.68854227
2016-07-02,1467417600000,678.09,705.21,676.92,704.95,4977.98046916
2016-07-03,1467504000000,705.25,705.25,651.0,663.55,6495.70846259
2016-07-04,1467590400000,664.09,683.69,653.16,681.98,4327.4107689
2016-07-05,1467676800000,681.98,682.37,662.51,669.87,5043.81182652
2016-07-06,1467763200000,669.75,680.79,665.0,678.79,5668.23807828
2016-07-07,1467849600000,678.79,683.44,611.94,641.97,12281.48061343
2016-07-08,1467936000000,641.97,667.33,638.04,667.33,11055.36574175
2016-07-09,1468022400000,667.07,667.3,608.0,657.61,9607.6959149
2016-07-10,1468108800000,657.6,657.61,641.0,652.44,3705.89414753
2016-07-11,1468195200000,652.43,664.27,648.11,650.97,4815.437046
2016-07-12,1468281600000,651.25,675.5,648.6,666.56,10666.08971384
2016-07-13,1468368000000,666.25,671.45,654.86,655.34,21882.00922995
2016-07-14,1468454400000,655.3,663.99,640.0,661.65,4649.64369535
2016-07-15,1468540800000,661.4,669.98,660.68,667.48,4725.74361249
2016-07-16,1468627200000,667.48,669.99,662.01,666.32,2908.02982543
2016-07-17,1468713600000,666.3,680.99,665.95,680.0,3944.42402405
2016-07-18,1468800000000,680.0,684.94,670.0,675.5,4547.72178477
2016-07-19,1468886400000,675.51,676.87,666.17,673.98,3799.77117828
2016-07-20,1468972800000,673.98,674.99,664.6,666.92,3603.86279956
2016-07-21,1469059200000,667.15,668.4,661.19,667.28,3967.87180841
2016-07-22,1469145600000,667.27,669.94,647.59,654.67,7371.96466565
2016-07-23,1469232000000,654.7,662.35,653.92,657.5,4379.51140552
2016-07-24,1469318400000,657.68,666.37,655.01,661.0,3423.08122968
2016-07-25,1469404800000,660.92,664.13,653.77,657.79,4101.53773839
2016-07-26,1469491200000,657.99,658.99,645.0,654.06,6470.74022151
2016-07-27,1469577600000,654.06,658.99,646.56,657.35,5175.14137436
2016-07-28,1469664000000,657.0,659.97,654.1,657.4,3832.98840948
2016-07-29,1469750400000,657.4,659.0,651.0,657.0,4246.21269481
2016-07-30,1469836800000,657.18,658.98,652.95,655.87,2980.08541508
2016-07-31,1469923200000,655.95,657.0,621.37,626.97,6299.64138309
2016-08-01,1470009600000,626.97,629.34,599.0,605.2,7981.71787362
2016-08-02,1470096000000,604.87,613.38,483.0,537.47,14839.34615984
2016-08-03,1470182400000,538.8,576.0,519.3,573.36,20292.859717
2016-08-04,1470268800000,573.35,599.95,562.11,587.5,9514.32837515
2016-08-05,1470355200000,587.5,592.87,570.39,583.0,5478.38879554
2016-08-06,1470441600000,583.0,591.72,574.5,591.71,3907.87281274
2016-08-07,1470528000000,591.7,598.65,587.2,595.14,3288.65737176
2016-08-08,1470614400000,595.14,595.99,590.0,591.48,3852.03062424
